OTU,Average abundance South (Standardised and transformed),Average abundance North (Standardised and transformed),Contribution to variance (%)
Lactobacillus crispatus strain ST1-30,0,0,0
Staphylococcus saprophyticus subsp. saprophyticus strain ATCC 15305-30,0,0,0
Clostridium botulinum A strain ATCC 3502-08,0,0,0
Mycoplasma crocodyli strain MP145-01,0,0,0
Dictyoglomus turgidum strain DSM 6724-30,0,0,0
Escherichia coli O111:H- strain 11128-30,0,0,0
Lactobacillus casei strain BL23-30,0,0,0
Campylobacter jejuni subsp. jejuni strain 81116-30,0,0,0
Campylobacter curvus strain 525.92-30,0,0,0
Escherichia coli strain MG1655-30,0,0,0
Staphylococcus epidermidis ATCC 12228-30,0,0,0
Dehalococcoides sp. BAV1-30,0,0,0
Escherichia coli strain 536-08,0,0,0
Brucella melitensis biovar Abortus strain 2308-01,0,0,0
Chlamydia trachomatis strain B/TZ1A828/OT-30,0,0,0
Salmonella enterica subsp. arizonae serovar 62:z4;z23:---08,0,0,0
Streptococcus uberis str. 0140J-08,0,0,0
Escherichia coli strain SMS-3-5-30,0,0,0
Listeria monocytogenes strain EGD-e-30,0,0,0
Thermotoga maritima strain MSB8-30,0,0,0
Campylobacter jejuni strain RM1221-30,0,0,0
Methanocaldococcus sp. FS406-22-08,0,0,0
Listeria innocua strain Clip11262-30,0,0,0
Aquifex aeolicus str. VF5-30,0,0,0
Paracoccus aminophilus Urakami et al. 1990;-01,0,0,0
Bacillus cereus strain E33L-08,0,0,0
Sulfolobus acidocaldarius NCIB 11770-01,0,0,0
Francisella tularensis subsp. holarctica strain FTNF002-00-01,0,0,0
Pyrobaculum aerophilum strain IM2-08,0,0,0
Sphingomonas sp. KA1-01,0,0,0
Salmonella enterica subsp. arizonae serovar 62:z4;z23:---01,0,0,0
not Oenococcus oeni MCW-30,0,0,0
Thermoanaerobacter pseudethanolicus strain ATCC 33223-08,0,0,0
Thermoproteus neutrophilus strain V24Sta-30,0,0,0
Salmonella enterica subsp. arizonae serovar 62:z4;z23:---30,0,0,0
Pyrobaculum arsenaticum strain DSM 13514-08,0,0,0
Bifidobacterium dentium strain Bd1-30,0,0,0
Treponema pallidum subsp. pallidum str. Nichols-08,0,0,0
Bacillus cereus strain AH820-30,0,0,0
Lactobacillus sakei subsp. sakei strain 23K-08,0,0,0
Staphylococcus aureus subsp. aureus str. MW2-08,0,0,0
