Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16-08,0,0.01,0.01
DnaJ like chaperone protein-01,0.01,0.01,0.01
enoyl-CoA hydratase [EC:4.2.1.17]-01,0.02,0.02,0.01
small conductance mechanosensitive ion channel; MscS family-30,0,0.01,0.01
flagellar biosynthetic protein FlhB-30,0,0.01,0.01
thymidine phosphorylase [EC:2.4.2.4]-30,0,0.01,0.01
pyrroline-5-carboxylate reductase [EC:1.5.1.2]-01,0.02,0.02,0.01
small subunit ribosomal protein S10-08,0.02,0.02,0.01
poly(A) polymerase [EC:2.7.7.19]-01,0.02,0.02,0.01
DtxR family transcriptional regulator; Mn-dependent transcriptional-08,0.01,0,0.01
NADH dehydrogenase I subunit A [EC:1.6.5.3]-08,0.02,0.01,0.01
flap endonuclease-1 [EC:3.-.-.-]-08,0,0.01,0.01
hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]-30,0,0.01,0.01
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase-01,0.02,0.02,0.01
oxalyl-CoA decarboxylase [EC:4.1.1.8]-08,0,0.01,0.01
zinc transporter; ZIP family-08,0.01,0.01,0.01
large subunit ribosomal protein L28-08,0.02,0.02,0.01
imidazolonepropionase [EC:3.5.2.7]-30,0,0.01,0.01
dihydrofolate reductase [EC:1.5.1.3]-30,0,0.01,0.01
4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]-08,0.01,0,0.01
phosphoethanolamine transferase-01,0.01,0,0.01
large subunit ribosomal protein L4-08,0.03,0.03,0.01
lycopene beta cyclase [EC:1.14.-.-]-30,0,0.01,0.01
DNA polymerase III subunit delta' [EC:2.7.7.7]-01,0.02,0.02,0.01
tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]-08,0.01,0,0.01
iron complex transport system substrate-binding protein-30,0.01,0.01,0.01
type IV pilus assembly protein PilM-08,0.01,0,0.01
multicomponent Na+:H+ antiporter subunit E-08,0.01,0,0.01
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate-30,0,0.01,0.01
pseudouridylate synthase [EC:4.2.1.70]-08,0,0,0.01
putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]-30,0,0.01,0.01
amidase [EC:3.5.1.4]-30,0,0.01,0.01
large subunit ribosomal protein L16-01,0.01,0.02,0.01
peptidoglycan-associated lipoprotein-30,0,0.01,0.01
ferredoxin-nitrate reductase [EC:1.7.7.2]-08,0,0,0.01
ADP-ribosylglycohydrolase [EC:3.2.-.-]-08,0.01,0.01,0.01
glutathione synthase [EC:6.3.2.3]-30,0.01,0.01,0.01
ATP-binding cassette; sub-family E; member 1-08,0,0.01,0.01
small subunit ribosomal protein S3-30,0.01,0.01,0.01
flagellar biosynthetic protein FliR-08,0.01,0.01,0.01
uncharacterized membrane protein-30,0,0.01,0.01
two-component system; chemotaxis family; response regulator CheY-08,0,0.01,0.01
outer membrane protein OmpU-01,0.01,0.01,0.01
two component system; response regulator FlrC-30,0,0.01,0.01
Cu(I)/Ag(I) efflux system membrane protein CusB-08,0.01,0,0.01
sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]-08,0.01,0.01,0.01
dihydroneopterin aldolase [EC:4.1.2.25]-30,0,0.01,0.01
ribokinase [EC:2.7.1.15]-30,0,0.01,0.01
GMP reductase [EC:1.7.1.7]-01,0,0.01,0.01
glutamine amidotransferase [EC:2.4.2.-]-01,0.02,0.02,0.01
dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12-30,0,0.01,0.01
citronellyl-CoA synthetase [EC:6.2.1.-]-08,0.01,0,0.01
adenosylmethionine-8-amino-7-oxononanoate aminotransferase-30,0,0.01,0.01
16S ribosomal RNA-30,0.01,0,0.01
superoxide dismutase [EC:1.15.1.1]-08,0,0.01,0.01
FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]-08,0.01,0.01,0.01
CrcB protein-08,0.01,0.01,0.01
farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]-01,0.02,0.02,0.01
phosphatidylglycerol:prolipoprotein diacylglycerol transferase-01,0.02,0.02,0.01
GTP-binding protein Era-30,0.01,0.01,0.01
photosystem c550-08,0.01,0.01,0.01
acetolactate synthase I/III small subunit [EC:2.2.1.6]-08,0.03,0.03,0.01
aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]-08,0,0.01,0.01
uroporphyrinogen-III synthase [EC:4.2.1.75]-01,0.02,0.02,0.01
DNA-directed RNA polymerase III subunit C2 [EC:2.7.7.6]-08,0,0.01,0.01
DNA polymerase II [EC:2.7.7.7]-30,0,0.01,0.01
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.60]-01,0.01,0.02,0.01
N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]-01,0.02,0.02,0.01
glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]-01,0.01,0.01,0.01
tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.25-30,0,0.01,0.01
glucokinase [EC:2.7.1.2]-30,0,0.01,0.01
cytochrome b561-08,0,0.01,0.01
penicillin amidase [EC:3.5.1.11]-30,0,0.01,0.01
GlpG protein-08,0.01,0,0.01
peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]-01,0.01,0.01,0.01
beta-glucosidase [EC:3.2.1.21]-01,0.01,0.01,0.01
5-methyltetrahydropteroyltriglutamate--homocysteine-01,0.01,0.01,0.01
adenylylsulfate reductase; subunit A [EC:1.8.99.2]-30,0,0.01,0.01
MFS transporter; UMF1 family-01,0.01,0.01,0.01
DNA adenine methylase [EC:2.1.1.72]-08,0,0,0.01
nitrilase [EC:3.5.5.1]-08,0.01,0,0.01
GMP reductase [EC:1.7.1.7]-30,0,0.01,0.01
monothiol glutaredoxin-08,0.01,0.01,0.01
multicomponent K+:H+ antiporter subunit A-08,0.01,0,0.01
ATP-dependent Clp protease ATP-binding subunit ClpB-01,0.01,0.01,0.01
alpha-glucoside transport system substrate-binding protein-08,0,0,0.01
tryptophan synthase alpha chain [EC:4.2.1.20]-01,0.02,0.02,0.01
multicomponent Na+:H+ antiporter subunit C-08,0.01,0,0.01
dUTP pyrophosphatase [EC:3.6.1.23]-01,0.01,0.02,0.01
ribonuclease D [EC:3.1.13.5]-01,0.01,0.02,0.01
saccharopine dehydrogenase (NAD+; L-lysine forming) [EC:1.5.1.7]-08,0.01,0.01,0.01
outer membrane lipoprotein Blc-08,0.01,0,0.01
phosphoglycolate phosphatase [EC:3.1.3.18]-01,0.02,0.02,0.01
serine O-acetyltransferase [EC:2.3.1.30]-30,0,0.01,0.01
monovalent cation:H+ antiporter-2; CPA2 family-30,0,0.01,0.01
mannose-6-phosphate isomerase [EC:5.3.1.8]-30,0,0.01,0.01
DNA polymerase III subunit chi [EC:2.7.7.7]-08,0.01,0,0.01
isoquinoline 1-oxidoreductase; beta subunit [EC:1.3.99.16]-30,0,0.01,0.01
2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3]-08,0.01,0,0.01
elongation factor EF-1 alpha subunit [EC:3.6.5.3]-08,0,0.01,0.01
muconate cycloisomerase [EC:5.5.1.1]-08,0.01,0.01,0.01
cystathionine beta-lyase [EC:4.4.1.8]-30,0,0.01,0.01
modification methylase [EC:2.1.1.72]-30,0,0.01,0.01
CCR4-NOT transcription complex subunit 1-08,0,0.01,0.01
Cu/Zn superoxide dismutase [EC:1.15.1.1]-08,0,0.01,0.01
large subunit ribosomal protein L13-30,0,0.01,0.01
orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]-01,0.02,0.02,0.01
D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6)-01,0.02,0.02,0.01
ATP-dependent helicase HrpA [EC:3.6.1.-]-01,0.01,0,0.01
malate dehydrogenase (decarboxylating) [EC:1.1.1.39]-08,0,0,0.01
two-component system; OmpR family; response regulator PhoP-08,0.01,0,0.01
ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]-08,0,0.01,0.01
sorbitol/mannitol transport system ATP-binding protein-08,0.01,0.01,0.01
purine nucleosidase [EC:3.2.2.1]-08,0.01,0.01,0.01
isoquinoline 1-oxidoreductase; alpha subunit [EC:1.3.99.16]-08,0.01,0,0.01
ubiquinone biosynthesis monooxygenase Coq7 [EC:1.14.13.-]-01,0.01,0.01,0.01
A/G-specific adenine glycosylase [EC:3.2.2.-]-30,0.01,0.01,0.01
GntR family transcriptional regulator-01,0.01,0,0.01
creatinine amidohydrolase [EC:3.5.2.10]-08,0,0.01,0.01
manganese/zinc/iron transport system permease protein-08,0.01,0,0.01
DNA mismatch repair protein MutS2-30,0,0.01,0.01
dethiobiotin synthetase [EC:6.3.3.3]-08,0.01,0.01,0.01
BirA family transcriptional regulator; biotin operon repressor /-30,0,0.01,0.01
iron-sulfur cluster assembly protein-08,0.01,0,0.01
tryptophan synthase alpha chain [EC:4.2.1.20]-30,0,0.01,0.01
multiple sugar transport system substrate-binding protein-01,0.02,0.02,0.01
two-component system; OmpR family; response regulator RstA-08,0.01,0,0.01
tubulin beta-30,0.01,0.01,0.01
putative spermidine/putrescine transport system substrate-binding-30,0,0.01,0.01
alkane 1-monooxygenase [EC:1.14.15.3]-08,0.01,0.01,0.01
diaminopropionate ammonia-lyase [EC:4.3.1.15]-30,0,0.01,0.01
aminobenzoyl-glutamate utilization protein B-08,0,0.01,0.01
putative SAM-dependent methyltransferase-30,0,0.01,0.01
glutaredoxin 3-30,0,0.01,0.01
manganese/iron transport system ATP-binding protein-08,0,0.01,0.01
sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]-01,0.01,0,0.01
ribonuclease PH [EC:2.7.7.56]-30,0,0.01,0.01
nucleobase:cation symporter-2; NCS2 family-01,0.01,0,0.01
intron-binding protein aquarius-08,0,0.01,0.01
E3 ubiquitin-protein ligase HERC2 [EC:6.3.2.19]-08,0,0.01,0.01
ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]-01,0.01,0,0.01
3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]-08,0.01,0.01,0.01
structural maintenance of chromosome 2-08,0,0.01,0.01
dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12-01,0.02,0.02,0.01
ferredoxin--NADP+ reductase [EC:1.18.1.2]-01,0.01,0.01,0.01
DNA replication and repair protein RecF-30,0,0.01,0.01
kinesin family member 18/19-30,0.01,0.01,0.01
nucleoside-triphosphate pyrophosphatase [EC:3.6.1.19]-30,0,0.01,0.01
MraZ protein-30,0,0.01,0.01
triosephosphate isomerase (TIM) [EC:5.3.1.1]-01,0.02,0.02,0.01
DNA-directed RNA polymerase I subunit A1 [EC:2.7.7.6]-08,0,0.01,0.01
peptidyl-tRNA hydrolase; PTH1 family [EC:3.1.1.29]-01,0.01,0.02,0.01
formyltetrahydrofolate deformylase [EC:3.5.1.10]-30,0,0.01,0.01
ABC-2 type transport system permease protein-30,0,0.01,0.01
translation initiation factor SUI1-08,0.01,0.01,0.01
RNA polymerase sigma factor for flagellar operon FliA-08,0.01,0.01,0.01
CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase-08,0.01,0.01,0.01
peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]-30,0,0.01,0.01
large subunit ribosomal protein L3-30,0.01,0.01,0.01
ribosomal protein L11 methyltransferase [EC:2.1.1.-]-01,0.01,0,0.01
ubiquitin-activating enzyme E1 [EC:6.3.2.19]-30,0.01,0,0.01
cytochrome bd-I oxidase subunit II [EC:1.10.3.-]-30,0,0.01,0.01
D-lactate dehydrogenase [EC:1.1.1.28]-08,0.01,0.01,0.01
Na+-transporting NADH:ubiquinone oxidoreductase subunit C-30,0,0.01,0.01
putative protein-disulfide isomerase-08,0.01,0,0.01
dimethylargininase [EC:3.5.3.18]-08,0.01,0.01,0.01
benzoate membrane transport protein-08,0.01,0,0.01
para-aminobenzoate synthetase component I [EC:2.6.1.85]-01,0.02,0.01,0.01
phospholipase C; delta [EC:3.1.4.11]-30,0,0,0.01
glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]-30,0,0.01,0.01
small subunit ribosomal protein S4-30,0.01,0.01,0.01
adenosylcobyric acid synthase [EC:6.3.5.10]-30,0,0.01,0.01
colicin import membrane protein-01,0.01,0,0.01
dUTP pyrophosphatase [EC:3.6.1.23]-30,0.01,0.01,0.01
haloalkane dehalogenase [EC:3.8.1.5]-08,0.02,0.02,0.01
UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]-01,0.02,0.02,0.01
lignostilbene-alpha;beta-dioxygenase [EC:1.13.11.43]-08,0,0,0.01
large subunit ribosomal protein L5-30,0.01,0.01,0.01
Cu(I)/Ag(I) efflux system membrane protein CusB-30,0,0.01,0.01
cell division protein FtsB-08,0.01,0,0.01
ribonuclease P protein component [EC:3.1.26.5]-08,0.01,0.01,0.01
putative thiamine transport system ATP-binding protein-08,0,0,0.01
arsenite-transporting ATPase [EC:3.6.3.16]-30,0.01,0,0.01
type III restriction enzyme [EC:3.1.21.5]-08,0.01,0,0.01
lysyl-tRNA synthetase; class I [EC:6.1.1.6]-30,0,0.01,0.01
hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]-08,0.01,0.01,0.01
dihydrodipicolinate reductase [EC:1.3.1.26]-30,0.01,0.01,0.01
hydroxyethylthiazole kinase [EC:2.7.1.50]-08,0.01,0,0.01
exopolyphosphatase [EC:3.6.1.11]-30,0,0.01,0.01
recombination protein RecR-30,0,0.01,0.01
3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.- 2.1.1.64]-01,0.02,0.02,0.01
AraC family transcriptional regulator; regulatory protein of-30,0,0.01,0.01
urea transport system substrate-binding protein-08,0,0,0.01
signal peptidase II [EC:3.4.23.36]-30,0,0.01,0.01
haloalkane dehalogenase [EC:3.8.1.5]-30,0,0.01,0.01
tRNA pseudouridine synthase B [EC:5.4.99.12]-01,0.01,0.01,0.01
E3 ubiquitin-protein ligase HUWE1 [EC:6.3.2.19]-30,0.01,0.01,0.01
large subunit ribosomal protein L20-30,0.01,0.01,0.01
long-chain-acyl-CoA dehydrogenase [EC:1.3.99.13]-08,0,0,0.01
alpha-galactosidase [EC:3.2.1.22]-30,0,0.01,0.01
putative iron-regulated protein-01,0.01,0,0.01
MSHA biogenesis protein MshQ-30,0,0,0.01
preprotein translocase subunit SecE-30,0,0.01,0.01
photosystem I subunit XI-08,0,0.01,0.01
ankyrin-30,0.01,0,0.01
ribosomal protein S6 modification protein-08,0,0.01,0.01
CRP/FNR family transcriptional regulator; cyclic AMP receptor-08,0.01,0,0.01
Cd2+/Zn2+-exporting ATPase [EC:3.6.3.3 3.6.3.5]-30,0.01,0.01,0.01
ATP-binding cassette; subfamily C; bacterial-08,0.01,0.01,0.01
stage V sporulation protein R-08,0,0.01,0.01
ribose 5-phosphate isomerase A [EC:5.3.1.6]-30,0.01,0.01,0.01
rare lipoprotein A-30,0,0.01,0.01
large subunit ribosomal protein L6-01,0.02,0.02,0.01
elongation factor EF-P-30,0,0.01,0.01
adenylate kinase [EC:2.7.4.3]-01,0.02,0.02,0.01
heat shock 70kDa protein 5-30,0.01,0.01,0.01
oligoendopeptidase F [EC:3.4.24.-]-30,0,0.01,0.01
ATP phosphoribosyltransferase [EC:2.4.2.17]-30,0.01,0.01,0.01
2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]-08,0.01,0.01,0.01
flagellar biosynthetic protein FliP-08,0.02,0.02,0.01
methylglutaconyl-CoA hydratase [EC:4.2.1.18]-08,0.01,0.01,0.01
tRNA/rRNA methyltransferase [EC:2.1.1.-]-30,0,0.01,0.01
sulfonate/nitrate/taurine transport system substrate-binding protein-01,0.02,0.02,0.01
ribonuclease III [EC:3.1.26.3]-01,0.01,0.01,0.01
large subunit ribosomal protein L4-01,0.01,0.02,0.01
glycine amidinotransferase [EC:2.1.4.1]-30,0,0.01,0.01
sn-glycerol 3-phosphate transport system substrate-binding protein-01,0.01,0.01,0.01
4-amino-4-deoxychorismate lyase [EC:4.1.3.38]-08,0.01,0.01,0.01
aminoacylhistidine dipeptidase [EC:3.4.13.3]-08,0.01,0,0.01
3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase /-01,0.01,0.01,0.01
1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]-01,0.02,0.02,0.01
amino-acid N-acetyltransferase [EC:2.3.1.1]-30,0.01,0.01,0.01
integrase/recombinase XerD-01,0.01,0.01,0.01
phosphoserine phosphatase [EC:3.1.3.3]-30,0,0.01,0.01
1;4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.-]-08,0.01,0.01,0.01
1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.1.12]-30,0,0.01,0.01
ATP-dependent RNA helicase DOB1 [EC:3.6.1.-]-08,0,0.01,0.01
2;4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]-01,0.01,0,0.01
chemotaxis protein methyltransferase CheR [EC:2.1.1.80]-08,0,0.01,0.01
HlyD family secretion protein-30,0,0.01,0.01
uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase /-01,0.01,0,0.01
phosphoribosylformimino-5-aminoimidazole carboxamide ribotide-01,0.02,0.02,0.01
transcriptional activator TenA [EC:3.5.99.2]-08,0.01,0.01,0.01
spermidine synthase [EC:2.5.1.16]-01,0.01,0.01,0.01
UDP-N-acetylglucosamine 2-epimerase [EC:5.1.3.14]-08,0.02,0.02,0.01
DNA polymerase alpha subunit A [EC:2.7.7.7]-08,0,0.01,0.01
cystathionine beta-synthase [EC:4.2.1.22]-30,0,0.01,0.01
dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]-01,0.01,0.01,0.01
ATP-dependent HslUV protease; peptidase subunit HslV [EC:3.4.25.-]-30,0,0.01,0.01
electron transfer flavoprotein alpha subunit-01,0.02,0.02,0.01
cell division protein ZapA-08,0.01,0.01,0.01
small subunit ribosomal protein S10-30,0,0.01,0.01
beta-aspartyl-peptidase (threonine type) [EC:3.4.19.5]-08,0.01,0.01,0.01
histidine transport system substrate-binding protein-08,0,0,0.01
ubiquitin-activating enzyme E1 [EC:6.3.2.19]-08,0,0.01,0.01
3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit-01,0.01,0.02,0.01
arabinose-5-phosphate isomerase [EC:5.3.1.13]-01,0.02,0.02,0.01
GcrA cell cycle regulator-08,0.01,0.01,0.01
concentrative nucleoside transporter; CNT family-30,0,0,0.01
peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]-30,0,0,0.01
L-serine dehydratase [EC:4.3.1.17]-30,0,0.01,0.01
naphthoate synthase [EC:4.1.3.36]-08,0.01,0.01,0.01
segregation and condensation protein B-30,0,0.01,0.01
3-mercaptopyruvate sulfurtransferase [EC:2.8.1.2]-08,0.01,0.01,0.01
translation initiation factor eIF-2 gamma subunit-08,0,0.01,0.01
two-component system; chemotaxis family; response regulator CheV-08,0,0.01,0.01
Na+:H+ antiporter; NhaC family-30,0,0.01,0.01
mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]-08,0,0,0.01
large subunit ribosomal protein L16-30,0.01,0.01,0.01
glycine oxidase [EC:1.4.3.19]-30,0,0.01,0.01
protein phosphatase 2 (formerly 2A); regulatory subunit A-08,0,0.01,0.01
orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]-30,0,0.01,0.01
putative tungstate transport system ATP-binding protein-08,0.01,0,0.01
replication factor A1-08,0,0,0.01
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]-01,0.01,0,0.01
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]-01,0.02,0.02,0.01
putative spermidine/putrescine transport system permease protein-30,0,0.01,0.01
polar amino acid transport system substrate-binding protein-30,0,0.01,0.01
2-dehydropantoate 2-reductase [EC:1.1.1.169]-30,0,0.01,0.01
transcriptional antiterminator NusG-01,0.01,0.02,0.01
glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]-30,0,0.01,0.01
dihydroflavonol-4-reductase [EC:1.1.1.219]-08,0.01,0,0.01
CDP-glucose 4;6-dehydratase [EC:4.2.1.45]-08,0.01,0.01,0.01
ornithine cyclodeaminase [EC:4.3.1.12]-30,0,0.01,0.01
2-oxoisovalerate dehydrogenase E1 component; alpha subunit-08,0.01,0,0.01
crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]-30,0,0.01,0.01
3-dehydroquinate dehydratase II [EC:4.2.1.10]-01,0.01,0.02,0.01
2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]-01,0.02,0.02,0.01
D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]-30,0,0.01,0.01
L-asparaginase [EC:3.5.1.1]-30,0,0.01,0.01
ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.1.-]-30,0.01,0,0.01
thiamine-monophosphate kinase [EC:2.7.4.16]-30,0,0.01,0.01
peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]-08,0.01,0.01,0.01
methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]-30,0,0.01,0.01
thymidine kinase [EC:2.7.1.21]-30,0,0.01,0.01
sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]-30,0,0.01,0.01
ferredoxin-nitrite reductase [EC:1.7.7.1]-30,0.01,0.01,0.01
membrane-bound lytic murein transglycosylase A [EC:3.2.1.-]-08,0,0,0.01
sn-glycerol 3-phosphate transport system permease protein-30,0,0.01,0.01
biopolymer transport protein TolQ-01,0.02,0.02,0.01
molecular chaperone HscB-08,0.01,0,0.01
omega-6 fatty acid desaturase (delta-12 desaturase) [EC:1.14.19.-]-30,0,0,0.01
succinate dehydrogenase cytochrome b-556 subunit [EC:1.3.99.1]-08,0.02,0.02,0.01
phosphoribosylformimino-5-aminoimidazole carboxamide ribotide-30,0,0.01,0.01
DNA polymerase (family X)-08,0,0,0.01
AP-1 complex subunit gamma-1-30,0.01,0,0.01
zinc transport system ATP-binding protein [EC:3.6.3.-]-01,0.01,0.01,0.01
type IV pilus assembly protein PilN-01,0.01,0.01,0.01
pyridoxine biosynthesis protein [EC:4.-.-.-]-08,0,0,0.01
carboxypeptidase Taq [EC:3.4.17.19]-30,0,0.01,0.01
curved DNA-binding protein-08,0,0.01,0.01
putative ABC transport system substrate-binding protein-30,0,0.01,0.01
gamma-aminobutyric acid (GABA) A receptor; epsilon-08,0.01,0,0.01
concentrative nucleoside transporter; CNT family-08,0,0.01,0.01
2-dehydropantoate 2-reductase [EC:1.1.1.169]-01,0.01,0.01,0.01
TetR/AcrR family transcriptional regulator; transcriptional-08,0.01,0,0.01
FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]-30,0,0.01,0.01
translation initiation factor IF-2 unclassified subunit-30,0,0.01,0.01
DNA repair protein RecO (recombination protein O)-30,0,0.01,0.01
nitrile hydratase [EC:4.2.1.84]-08,0.01,0.01,0.01
RNA methyltransferase; TrmA family [EC:2.1.1.-]-01,0.01,0,0.01
uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107-08,0,0,0.01
NADH dehydrogenase I subunit E [EC:1.6.5.3]-30,0,0.01,0.01
uridine phosphorylase [EC:2.4.2.3]-08,0.01,0,0.01
adenine-specific DNA-methyltransferase [EC:2.1.1.72]-08,0.01,0.01,0.01
magnesium chelatase family protein-01,0.01,0,0.01
phosphomethylpyrimidine kinase [EC:2.7.4.7]-01,0.01,0.02,0.01
F-type H+-transporting ATPase subunit epsilon [EC:3.6.3.14]-30,0,0.01,0.01
acyl carrier protein-08,0.02,0.02,0.01
beta-mannosidase [EC:3.2.1.25]-08,0.01,0.01,0.01
threonine-phosphate decarboxylase [EC:4.1.1.81]-08,0,0,0.01
deoxyhypusine synthase [EC:2.5.1.46]-30,0,0.01,0.01
recombination protein RecR-01,0.01,0.02,0.01
phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP-08,0.01,0.01,0.01
dihydroorotate dehydrogenase electron transfer subunit-08,0.01,0,0.01
UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]-30,0,0.01,0.01
ATP-dependent RNA helicase RhlB [EC:3.6.1.-]-30,0,0.01,0.01
ferredoxin-01,0.01,0.02,0.01
E1A/CREB-binding protein [EC:2.3.1.48]-08,0,0.01,0.01
dihydrodipicolinate reductase [EC:1.3.1.26]-01,0.02,0.02,0.01
hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]-08,0.01,0,0.01
alpha;alpha-trehalose-phosphate synthase (UDP-forming) [EC:2.4.1.15]-30,0,0,0.01
lipoyl(octanoyl) transferase [EC:2.3.1.181]-08,0.03,0.03,0.01
two-component system; chemotaxis family; response regulator CheY-30,0,0,0.01
taurine dioxygenase [EC:1.14.11.17]-30,0,0.01,0.01
DNA-binding protein HU-beta-01,0.01,0.01,0.01
nicotinate-nucleotide pyrophosphorylase (carboxylating)-30,0.01,0.01,0.01
stress-induced-phosphoprotein 1-08,0,0,0.01
indole-3-glycerol phosphate synthase [EC:4.1.1.48]-30,0,0.01,0.01
glutaminase [EC:3.5.1.2]-08,0.01,0,0.01
serine/threonine protein kinase; bacterial [EC:2.7.11.1]-30,0.01,0.01,0.01
26S proteasome regulatory subunit N2-30,0,0,0.01
transcriptional antiterminator RfaH-08,0.01,0,0.01
glucosylglycerol 3-phosphatase [EC:3.1.3.69]-08,0,0,0.01
nuclear receptor; other families; insect-30,0.01,0,0.01
flagellar basal-body rod protein FlgF-30,0,0,0.01
peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]-30,0,0.01,0.01
tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]-30,0,0.01,0.01
